country,Year,Mineral,Export_value,Company,Percent_share
Peru,2020,Nat. Gas,12030.0,,100.0
Peru,2020,Petroleum,6221400.0,,100.0
Peru,2021,Iron,12149274.0,,100.0
Peru,2021,Manganese,9073.0,,100.0
Peru,2021,Molybdenum,34148.0,,100.0
Peru,2021,Arsenic,21872.0,,100.0
Peru,2021,Bismuth,248.0,,100.0
Peru,2021,Cadmium,636.0,,100.0
Peru,2021,Copper,2329886.0,Oroco Resource Corp.,100.0
Peru,2021,Indium,7.0,,100.0
Peru,2021,Lead,264427.0,,100.0
Peru,2021,Selenium,48.0,,100.0
Peru,2021,Tin,26995.0,Stellar Resources Limited,100.0
Peru,2021,Zinc,1533135.0,,100.0
Peru,2021,Gold,97190.0,Aben Minerals Ltd.,10.0
Peru,2021,Gold,97190.0,Asante Gold Corporation,10.0
Peru,2021,Gold,97190.0,Athena Gold Corp,10.0
Peru,2021,Gold,97190.0,Awalé Resources,10.0
Peru,2021,Gold,97190.0,Endomines Finland Oyj,10.0
Peru,2021,Gold,97190.0,Exploits Discovery Corp,10.0
Peru,2021,Gold,97190.0,Great Boulder Resources,10.0
Peru,2021,Gold,97190.0,Kobo Resources Inc.,10.0
Peru,2021,Gold,97190.0,Loncor Gold Inc,10.0
Peru,2021,Gold,97190.0,Scorpio Gold Corp.,10.0
Peru,2021,Silver,3375645.0,,100.0
Peru,2021,Baryte,10361.0,,100.0
Peru,2021,Bentonite,56199.0,,100.0
Peru,2021,Boron,246362.0,,100.0
Peru,2021,Diatomite,94860.0,,100.0
Peru,2021,Feldspar,27274.0,,100.0
Peru,2021,Gypsum,435459.0,,100.0
Peru,2021,Kaolin,13142.0,,100.0
Peru,2021,Phosphates,1293100.0,,100.0
Peru,2021,Salt,1175828.0,,100.0
Peru,2021,Sulfur,529900.0,,100.0
Peru,2021,Talc,50355.0,,100.0
Peru,2021,Steam Coal,146982.0,,100.0
Peru,2021,Nat. Gas,11375.0,,100.0
Peru,2021,Petroleum,5949800.0,,100.0
Peru,2022,Iron,12936826.0,,100.0
Peru,2022,Manganese,1169.0,,100.0
Peru,2022,Molybdenum,31588.0,,100.0
Peru,2022,Arsenic,25379.0,,100.0
Peru,2022,Bismuth,251.0,,100.0
Peru,2022,Cadmium,460.0,,100.0
Peru,2022,Copper,2445271.0,Oroco Resource Corp.,100.0
Peru,2022,Indium,7.0,,100.0
Peru,2022,Lead,255443.0,,100.0
Peru,2022,Selenium,57.0,,100.0
Peru,2022,Tin,28231.0,Stellar Resources Limited,100.0
Peru,2022,Zinc,1369649.0,,100.0
Peru,2022,Gold,96966.0,Aben Minerals Ltd.,10.0
Peru,2022,Gold,96966.0,Asante Gold Corporation,10.0
Peru,2022,Gold,96966.0,Athena Gold Corp,10.0
Peru,2022,Gold,96966.0,Awalé Resources,10.0
Peru,2022,Gold,96966.0,Endomines Finland Oyj,10.0
Peru,2022,Gold,96966.0,Exploits Discovery Corp,10.0
Peru,2022,Gold,96966.0,Great Boulder Resources,10.0
Peru,2022,Gold,96966.0,Kobo Resources Inc.,10.0
Peru,2022,Gold,96966.0,Loncor Gold Inc,10.0
Peru,2022,Gold,96966.0,Scorpio Gold Corp.,10.0
Peru,2022,Silver,3084039.0,,100.0
Peru,2022,Baryte,29293.0,,100.0
Peru,2022,Bentonite,22931.0,,100.0
Peru,2022,Boron,292986.0,,100.0
Peru,2022,Diatomite,104660.0,,100.0
Peru,2022,Feldspar,24358.0,,100.0
Peru,2022,Gypsum,315292.0,,100.0
Peru,2022,Kaolin,14300.0,,100.0
Peru,2022,Phosphates,1314600.0,,100.0
Peru,2022,Salt,1093559.0,,100.0
Peru,2022,Sulfur,588300.0,,100.0
Peru,2022,Talc,49869.0,,100.0
Peru,2022,Steam Coal,192094.0,,100.0
Peru,2022,Nat. Gas,13705.0,,100.0
Peru,2022,Petroleum,5835100.0,,100.0
